"region","code_iso3","country_name","city","measure_year","measure_pm25_ug_m3","measure_pm10_ug_m3","measure_no2_ug_m3","pm25_temporal_coverage","pm10_temporal_coverage","no2_temporal_coverage","source","monitoring_station_number","database_version","status"
"European Region","DNK","Denmark","Roskilde",2019,10.25,14.36,6.5,NA,NA,93.82420091,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","A Coruna",2017,14.11,26.85,21.54,NA,NA,97.60273973,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","A Coruna",2018,13.87,27.76,20.33,NA,NA,99.00399543,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","A Coruna",2019,13.6,26.91,18.34,NA,NA,97.78538813,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aguimes",2017,8.75,34.06,6.19,NA,NA,98.41894977,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aguimes",2018,8.9,22.7,5.92,NA,NA,99.58333334,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aguimes",2019,9.17,23.29,7.87,NA,NA,99.62899544,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aia",2017,NA,13.15,3.51,NA,NA,90.59360731,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aia",2018,NA,12.61,3.94,NA,NA,95.44520548,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aia",2019,NA,11.35,3.18,NA,NA,98.71004566,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alacant",2017,9.3,17.48,18.9,NA,NA,90.83713851,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alacant",2018,7.7,14.74,19.79,NA,NA,98.39041096,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alacant",2019,9.71,19.75,18.04,NA,NA,98.95738204,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alagon",2017,14.11,20.76,18.03,NA,NA,87.55707763,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alagon",2018,10.35,16.85,16.93,NA,NA,98.68721461,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alagon",2019,11.07,16.68,17.73,NA,NA,98.21917808,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Albacete",2017,11.23,27.38,14.35,NA,NA,94.30365297,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Albacete",2018,10.24,24.63,13.54,NA,NA,94.41780822,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Albacete",2019,8.62,25.48,13.48,NA,NA,97.24885845,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Albalat Dels Tarongers",2017,4.96,9.52,9.3,NA,NA,98.78995434,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Albalat Dels Tarongers",2018,4.66,11.38,7.27,NA,NA,83.78995434,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Albalat Dels Tarongers",2019,4.47,6.09,7.14,NA,NA,99.38356164,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alcala De Henares",2017,NA,25.66,37.41,NA,NA,98.67579909,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alcala De Henares",2018,NA,18.89,28.31,NA,NA,98.99543379,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alcala De Henares",2019,12.48,19.89,28.38,NA,NA,97.69406393,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alcantarilla",2017,NA,19.89,23.93,NA,NA,98.63013699,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alcantarilla",2018,NA,21.01,21.9,NA,NA,99.09817352,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alcantarilla",2019,NA,23.56,20.19,NA,NA,99.56621005,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alcoi",2017,NA,15.12,12.68,NA,NA,96.75799087,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alcoi",2018,NA,13.59,11.21,NA,NA,95.54794521,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alcoi",2019,NA,13.36,8.52,NA,NA,97.2716895,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alfaro",2017,6.4,17.99,7.21,NA,NA,96.83789954,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alfaro",2018,7.13,19.04,7.9,NA,NA,98.69863014,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Alfaro",2019,8.66,24.23,7.88,NA,NA,96.86073059,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Algeciras",2017,NA,27.16,27.88,NA,NA,98.52739726,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Almassora",2017,7.39,9.56,26.35,NA,NA,97.84246575,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Almassora",2018,8.75,12.35,23.07,NA,NA,94.26940639,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Almassora",2019,7.27,10.61,26.32,NA,NA,97.6826484,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Almonte",2017,NA,18.4,4.36,NA,NA,98.26484018,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Almonte",2018,NA,15.31,3.42,NA,NA,93.08789954,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Almonte",2019,NA,15.67,3.83,NA,NA,97.6369863,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aranda De Duero",2017,NA,19.89,14.46,NA,NA,99.49771689,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aranda De Duero",2018,NA,16.82,9.36,NA,NA,98.86986301,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aranda De Duero",2019,NA,17.8,9.08,NA,NA,99.18949772,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aranjuez",2017,NA,22.31,15.69,NA,NA,98.76712329,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aranjuez",2018,NA,13.86,14.98,NA,NA,99.09817352,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aranjuez",2019,NA,16.94,16.37,NA,NA,98.86986301,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arcos De La Frontera",2017,NA,28.48,7.04,NA,NA,84.52054795,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arcos De La Frontera",2019,NA,25.57,3.13,NA,NA,93.02511416,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arganda Del Rey",2017,NA,24.27,23.77,NA,NA,98.52739726,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arganda Del Rey",2018,NA,18.81,19.11,NA,NA,99.05251142,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arganda Del Rey",2019,NA,19.35,18.45,NA,NA,99.04109589,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arona",2017,15.04,39.39,12.26,NA,NA,95.20547945,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arona",2018,11.8,28.66,13.6,NA,NA,98.71004566,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arona",2019,6.87,32.17,14.37,NA,NA,99.22374429,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arrasate",2017,NA,15.77,22.71,NA,NA,96.19863014,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arrasate",2018,NA,13.82,19.08,NA,NA,94.543379,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arrasate",2019,NA,15.57,19.04,NA,NA,98.35616438,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arrecife",2017,7.14,29.27,12.27,NA,NA,87.81963471,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arrecife",2018,6.83,23.79,9.44,NA,NA,92.24315069,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arrecife",2019,6.54,24.83,9.99,NA,NA,88.2020548,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arucas",2017,11.4,24.98,5.54,NA,NA,83.45890411,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arucas",2018,8.47,25.26,2.87,NA,NA,97.51141553,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Arucas",2019,7.65,18.84,2.63,NA,NA,94.47488584,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","As Pontes De Garcia Rodriguez",2017,10.17,10.33,3.89,NA,NA,97.57420092,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","As Pontes De Garcia Rodriguez",2018,9.63,9.11,3.54,NA,NA,97.76255708,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","As Pontes De Garcia Rodriguez",2019,8.99,8.96,3.62,NA,NA,97.89954338,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Astillero",2017,NA,25.73,18.15,NA,NA,99.00684932,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Astillero",2018,NA,24.41,15.92,NA,NA,98.37899543,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Astillero",2019,NA,24.07,16.23,NA,NA,99.42922374,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Avila",2017,NA,15.09,8.03,NA,NA,99.48630137,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Avila",2018,NA,14.24,6.84,NA,NA,99.46347032,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Avila",2019,NA,13.46,5.36,NA,NA,99.40639269,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aviles",2017,NA,30.61,23.56,NA,NA,98.08599696,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aviles",2018,10.46,22.42,19.42,NA,NA,98.51598174,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Aviles",2019,7.4,24.31,19.43,NA,NA,98.78139269,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Azpeitia",2017,NA,15.61,16.87,NA,NA,97.60273973,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Azpeitia",2018,NA,13.55,15.44,NA,NA,95.55936073,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Azpeitia",2019,NA,13.55,15.76,NA,NA,99.21232877,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Badajoz",2017,7.08,16.87,6.9,NA,NA,92.20890411,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Badajoz",2018,6.61,14.19,6.04,NA,NA,94.72031964,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Badajoz",2019,6.28,13.97,5.38,NA,NA,97.44292238,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Badalona",2017,NA,23.51,38.62,NA,NA,97.37442922,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Badalona",2018,NA,22.18,34.91,NA,NA,97.44292237,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Balcon De Telde",2017,8.06,29.82,15.12,NA,NA,95.1826484,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Balcon De Telde",2018,6.89,25.93,14.53,NA,NA,99.09817352,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Balcon De Telde",2019,7.58,26.51,10.4,NA,NA,98.88127854,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Barakaldo",2017,NA,20.57,26.03,NA,NA,97.46575342,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Barakaldo",2018,NA,21.05,23.93,NA,NA,98.29908676,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Barcelona",2017,15.7,25.79,41.99,NA,NA,97.66634051,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Barcelona",2018,15.8,24.68,37.84,NA,NA,95.28864971,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Barcelona",2019,17.83,26.81,35.71,NA,NA,97.79517286,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Barreda",2017,NA,24.88,32.55,NA,NA,99.12100457,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Barreda",2018,NA,23.52,27.73,NA,NA,98.80136986,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Barreda",2019,NA,19.51,27.48,NA,NA,99.23515982,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Barriada Rio San Pedro",2017,NA,30.29,13.58,NA,NA,90.456621,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Barriada Rio San Pedro",2018,NA,24.67,12.18,NA,NA,94.76027397,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Barriada Rio San Pedro",2019,NA,23.04,11.02,NA,NA,90.93607306,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Basauri",2017,NA,23.52,27.05,NA,NA,97.00913242,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Basauri",2018,NA,22.03,24.69,NA,NA,98.56164384,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Basauri",2019,NA,21.87,24.62,NA,NA,96.43835616,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Beasain",2017,8.52,18.7,22.79,NA,NA,99.42922374,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Beasain",2018,9.48,20.9,20.75,NA,NA,99.14383562,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Beasain",2019,8.98,22.34,20.49,NA,NA,98.51598174,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Benicasim",2017,5.03,7.17,16.38,NA,NA,95.49086758,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Benicasim",2018,6.6,10.44,15.81,NA,NA,98.99543379,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Benicasim",2019,6.71,11.18,16.8,NA,NA,97.52283105,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Bilbao",2017,10.16,18.11,27.51,NA,NA,99.48630137,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Bilbao",2018,9.76,13.64,24.65,NA,NA,98.91552511,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Bilbao",2019,9.09,12.94,22.97,NA,NA,94.71461187,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Biscay",2017,NA,20.02,23.67,NA,NA,92.8652968,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Biscay",2018,NA,19.05,20.32,NA,NA,96.64383562,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Biscay",2019,NA,19.8,19.49,NA,NA,99.05251142,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Bizkaia",2017,NA,12.29,3.69,NA,NA,86.21004566,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Bizkaia",2018,NA,10.63,3.37,NA,NA,97.85388128,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Bizkaia",2019,NA,10.38,4.02,NA,NA,97.0890411,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Brena Baja",2017,9.71,21.7,13.61,NA,NA,86.03881279,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Bunol",2017,10.2,14.31,12.24,NA,NA,97.47716895,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Bunol",2018,11.58,16.07,15.82,NA,NA,99.10958904,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Bunol",2019,5.91,8.17,12.81,NA,NA,96.17579909,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Burgos",2017,NA,15.44,19.09,NA,NA,98.78995434,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Burgos",2018,NA,15.95,17.58,NA,NA,99.36073059,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Burgos",2019,NA,18.64,13.24,NA,NA,99.57762557,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Burjassot",2017,NA,22.12,21.69,NA,NA,94.40639269,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Burjassot",2018,NA,18.7,20.81,NA,NA,98.27625571,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Burjassot",2019,NA,21.93,19.63,NA,NA,99.543379,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Buron",2018,NA,16.98,4.33,NA,NA,97.94520548,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Buzanada",2017,12.76,32.21,7.27,NA,NA,96.62100457,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Buzanada",2018,10.48,22.79,8.12,NA,NA,98.76712329,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Buzanada",2019,8.39,24.47,8.39,NA,NA,98.80136986,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Caceres",2017,6.3,16.4,7.98,NA,NA,89.93150685,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Caceres",2018,NA,13.67,7.66,NA,NA,99.00684932,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Caceres",2019,NA,13.54,6.3,NA,NA,97.94520548,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cadaques",2017,7.54,15.81,3.59,NA,NA,97.28310502,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cadaques",2018,8.89,16.14,3.6,NA,NA,96.16438356,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cadaques",2019,7.4,15.88,3.11,NA,NA,96.80365297,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Camargo",2017,NA,28.51,19.45,NA,NA,98.25342466,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Camargo",2018,NA,22.7,14.18,NA,NA,98.61872146,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Camargo",2019,NA,26.7,12.02,NA,NA,98.59589041,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Campisabalos",2017,3.76,9.06,2.48,NA,NA,95.1369863,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Campisabalos",2018,4.59,8.35,1.7,NA,NA,96.31278539,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Campisabalos",2019,4.25,7.89,1.82,NA,NA,95.92465753,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Candelaria",2017,10.92,28.92,14.89,NA,NA,96.62100457,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Candelaria",2018,9.13,26.2,11.88,NA,NA,99.1780822,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Candelaria",2019,8.58,26.3,11.4,NA,NA,99.50913242,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cangas Del Narcea",2017,NA,14.23,10.04,NA,NA,98.81278539,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cangas Del Narcea",2018,NA,16.5,6.86,NA,NA,96.16438356,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cangas Del Narcea",2019,NA,15.76,7.5,NA,NA,99.04109589,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Caravaca De La Cruz",2017,NA,17.15,8.03,NA,NA,91.13013699,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Caravaca De La Cruz",2018,NA,13.4,6.48,NA,NA,94.02968037,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Caravaca De La Cruz",2019,NA,14.01,7.27,NA,NA,93.56164384,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cardenajimeno",2017,5.39,13.79,8.51,NA,NA,99.31506849,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cardenajimeno",2018,5.8,14.55,7.87,NA,NA,98.73287671,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cardenajimeno",2019,5.08,11.13,8.05,NA,NA,99.41780822,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Carracedelo",2017,NA,18.13,9.39,NA,NA,98.82420091,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Carracedelo",2018,NA,14.6,8.08,NA,NA,98.32191781,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Carracedelo",2019,NA,13.88,7.53,NA,NA,98.32191781,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cartagena",2017,NA,21.43,20.01,NA,NA,95.1217656,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cartagena",2018,NA,19.94,22.55,NA,NA,93.32191781,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cartagena",2019,NA,22.17,18.97,NA,NA,98.72146119,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Castello",2017,6.9,9.28,8.08,NA,NA,97.45053272,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Castello",2018,6.1,7.77,8.14,NA,NA,98.22298326,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Castello",2019,6.17,8.99,9.92,NA,NA,98.23439878,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Castello De La Plana",2017,12.74,16.36,24.51,NA,NA,88.97831051,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Castillo Del Romeral",2017,10.36,29.33,11.16,NA,NA,98.34474886,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Castillo Del Romeral",2018,8.97,26.23,9.77,NA,NA,99.38356164,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Castillo Del Romeral",2019,6.96,29.93,8.87,NA,NA,98.76712329,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Castro Urdiales",2017,NA,17.29,13.83,NA,NA,99.31506849,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Castro Urdiales",2018,NA,17.45,10.99,NA,NA,98.53881279,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Castro Urdiales",2019,NA,15.08,11.31,NA,NA,99.21232877,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Caudete De Las Fuentes",2017,7.51,11.58,6.86,NA,NA,94.08675799,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Caudete De Las Fuentes",2018,5.64,8.5,4.65,NA,NA,94.53196347,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Caudete De Las Fuentes",2019,6.32,9.73,4.62,NA,NA,98.72146119,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cee",2017,NA,14.47,8.5,NA,NA,99.44063927,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cee",2018,NA,10.88,7.7,NA,NA,99.40639269,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cee",2019,NA,15.61,7.22,NA,NA,99.24657534,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cerceda",2017,NA,12.27,10.71,NA,NA,99.37214612,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cerceda",2018,NA,11.44,9.87,NA,NA,97.92237443,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Cerceda",2019,NA,10.08,8.18,NA,NA,97.6826484,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Ciudad Real",2017,NA,24.96,13.01,NA,NA,98.31050228,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Ciudad Real",2018,NA,22.75,12.77,NA,NA,94.71461187,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Ciudad Real",2019,NA,25.95,15.46,NA,NA,95.21689498,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Ciutadella De Menorca",2017,NA,16.11,6.53,NA,NA,98.21917808,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Ciutadella De Menorca",2018,NA,18.08,6.27,NA,NA,85.87899543,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Ciutadella De Menorca",2019,NA,18.19,5.5,NA,NA,92.75114155,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","ESP","Spain","Congosto",2017,NA,14.67,6.46,NA,NA,98.49315068,"European Environment Agency (downloaded in 2021)",NA,2022,NA
