"region","Code_iso3","country_name","city","measure_year","measure_pm25_μg_m3","measure_PM10_μg_m3","measure_NO2_μg_m3","PM25_temporal_coverage","PM10_temporal_coverage","NO2_temporal_coverage","source","monitoring_station_number","database_version","status"
"European Region","CHE","Switzerland","Basel",2018,13.4,17.9,32.25,NA,NA,99.28652968,"BAFU, European Environment Agency (downloaded in 2021)","2 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Basel",2019,11.3,15.38,30.67,NA,NA,98.49315069,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Basel",2019,11.3,15.38,30.67,NA,NA,98.49315069,"BAFU, European Environment Agency (downloaded in 2021)","2 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Basel",2020,10.2,15,23.7,NA,NA,NA,"BAFU","2 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Bern",2016,12.5,19.3,35.11,NA,NA,99.6129326,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Bern",2016,12.5,19.3,35.11,NA,NA,99.6129326,"BAFU, European Environment Agency (downloaded in 2021)","2 Traffic",2022,NA
"European Region","CHE","Switzerland","Bern",2017,12.65,18.1,29.1,NA,NA,99.62899544,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Bern",2017,12.65,18.1,29.1,NA,NA,99.62899544,"BAFU, European Environment Agency (downloaded in 2021)","1 Background, 2 Traffic",2022,NA
"European Region","CHE","Switzerland","Bern",2018,13.35,18.62,27.27,NA,NA,99.7716895,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Bern",2018,13.35,18.62,27.27,NA,NA,99.7716895,"BAFU, European Environment Agency (downloaded in 2021)","1 Background, 2 Traffic",2022,NA
"European Region","CHE","Switzerland","Bern",2019,10.86,16.01,25.69,NA,NA,99.64611872,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Bern",2019,10.86,16.01,25.69,NA,NA,99.64611872,"BAFU, European Environment Agency (downloaded in 2021)","1 Background, 2 Traffic",2022,NA
"European Region","CHE","Switzerland","Bern",2020,9.1,14.2,22.3,NA,NA,NA,"BAFU","1 Background, 2 Traffic",2022,NA
"European Region","CHE","Switzerland","Beromünster",2017,NA,9.8,8,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Beromünster",2018,NA,11.4,9.6,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Beromünster",2019,NA,9.7,7.9,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Beromünster",2020,NA,8.9,6.9,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Bevaix",2016,NA,13,16,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Biel/Bienne",2016,NA,14,20,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Biel/Bienne",2017,NA,14,21,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Biel/Bienne",2018,NA,14,19,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Biel/Bienne",2019,NA,13,17,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Biel/Bienne",2020,9.1,12.9,15.1,NA,NA,NA,"BAFU","1 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Binningen",2016,NA,13.69,18.89,NA,NA,99.62431694,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Binningen",2017,9.82,13.53,18.8,NA,NA,98.96118721,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Binningen",2018,10.6,14.34,17.52,NA,NA,99.20091324,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Binningen",2019,8.93,12.56,16.71,NA,NA,99.56621005,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Bioggio",2016,NA,24,32,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Bioggio",2017,15,22,33,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Bioggio",2018,13,19,28,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Bioggio",2019,11.4,17.8,27,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Bioggio",2020,12.4,19,25,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Bodio",2016,NA,19,29,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Bodio",2017,NA,21,29,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Bodio",2018,11,19,26,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Bodio",2019,9.9,17.8,23.7,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Bodio",2020,9.9,18,21,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Brigerbad",2016,NA,15.1,20.8,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Brigerbad",2017,NA,16.1,21,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Brigerbad",2018,NA,12.4,17.4,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Brigerbad",2019,7.2,12,17.4,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Brigerbad",2020,8.4,13.4,18.2,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Brione",2016,NA,13,10,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Brione",2017,NA,14,10,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Brione",2018,10,14,9,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Brione",2019,8.4,12,7.3,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Brione",2020,8.1,11.7,6.8,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Bulle",2016,NA,13.2,30.1,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Bulle",2017,NA,13.1,27.5,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Bulle",2018,10.4,13,25.5,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Bulle",2019,8.6,12.6,23,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Bulle",2020,9,12.1,17.4,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Bussigny",2017,NA,15.5,34.5,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Bussigny",2019,NA,14.3,30,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Cadenazzo",2016,NA,16.17,18.07,NA,NA,99.62431694,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Cadenazzo",2017,13.06,18.46,19.94,NA,NA,99.49771689,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Cadenazzo",2018,11.56,16.02,15.98,NA,NA,99.61187215,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Cadenazzo",2019,9.89,14.53,15.21,NA,NA,98.88127854,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Camignolo",2016,NA,17,52,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Camignolo",2017,NA,20,54,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Camignolo",2018,NA,18,47,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Camignolo",2019,NA,15.1,43.2,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Camignolo",2020,NA,15.1,35,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Chaumont",2016,NA,6.4,5.4,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Chaumont",2017,NA,6.4,5.1,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Chaumont",2018,NA,7.5,5.8,NA,NA,NA,"BAFU","1 Background",2022,NA
